activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,clt,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/clt/gr1/,1979-01-16,2014-12-16,432,0.0666,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,evspsbl,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/evspsbl/gr1/,1979-01-16,2014-12-16,432,0.0728,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,hfls,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/hfls/gr1/,1979-01-16,2014-12-16,432,0.0731,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,hfss,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/hfss/gr1/,1979-01-16,2014-12-16,432,0.0743,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,hurs,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/hurs/gr1/,1979-01-16,2014-12-16,432,0.0627,2019-11-03,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,hus,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/hus/gr1/,1979-01-16,2014-12-16,432,1.07,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,huss,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/huss/gr1/,1979-01-16,2014-12-16,432,0.0672,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,pr,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/pr/gr1/,1979-01-16,2014-12-16,432,0.0735,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,prsn,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/prsn/gr1/,1979-01-16,2014-12-16,432,0.0392,2019-11-02,created,
CFMIP,NOAA-GFDL,GFDL-CM4,amip-4xCO2,r1i1p1f1,Amon,prw,gr1,gs://cmip6/CFMIP/NOAA-GFDL/GFDL-CM4/amip-4xCO2/r1i1p1f1/Amon/prw/gr1/,1979-01-16,2014-12-16,432,0.0681,2019-11-02,created,
