activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,huss,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/huss/gr/,1850-01-16,2014-12-16,1980,0.324,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,pr,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/pr/gr/,1850-01-16,2014-12-16,1980,0.357,2020-01-18,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,psl,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/psl/gr/,1850-01-16,2014-12-16,1980,0.239,2020-01-18,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,rlds,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/rlds/gr/,1850-01-16,2014-12-16,1980,0.302,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,rlut,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/rlut/gr/,1850-01-16,2014-12-16,1980,0.3,2020-01-18,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,rlutcs,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/rlutcs/gr/,1850-01-16,2014-12-16,1980,0.284,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,rsut,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/rsut/gr/,1850-01-16,2014-12-16,1980,0.314,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,ta,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/ta/gr/,1850-01-16,2014-12-16,1980,4.43,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/tas/gr/,1850-01-16,2014-12-16,1980,0.258,2020-01-15,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,tasmax,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/tasmax/gr/,1850-01-16,2014-12-16,1980,0.263,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,tasmin,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/tasmin/gr/,1850-01-16,2014-12-16,1980,0.268,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,ts,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/ts/gr/,1850-01-16,2014-12-16,1980,0.261,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,ua,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/ua/gr/,1850-01-16,2014-12-16,1980,6.07,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,uas,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/uas/gr/,1850-01-16,2014-12-16,1980,0.337,2020-01-18,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,va,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/va/gr/,1850-01-16,2014-12-16,1980,6.57,2020-02-29,created,
CMIP,THU,CIESM,historical,r2i1p1f1,Amon,zg,gr,gs://cmip6/CMIP/THU/CIESM/historical/r2i1p1f1/Amon/zg/gr/,1850-01-16,2014-12-16,1980,4.33,2020-02-29,created,
CMIP,THU,CIESM,piControl,r1i1p1f1,Amon,clwvi,gr,gs://cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/clwvi/gr/,0001-01-16,0500-12-16,6000,1.05,2020-03-04,created,
CMIP,THU,CIESM,piControl,r1i1p1f1,Amon,hus,gr,gs://cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/hus/gr/,0001-01-16,0500-12-16,6000,15.9,2019-12-14,created,
CMIP,THU,CIESM,piControl,r1i1p1f1,Amon,huss,gr,gs://cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/huss/gr/,0001-01-16,0500-12-16,6000,0.982,2020-02-05,created,
CMIP,THU,CIESM,piControl,r1i1p1f1,Amon,pr,gr,gs://cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/pr/gr/,0001-01-16,0500-12-16,6000,1.08,2019-12-14,created,
CMIP,THU,CIESM,piControl,r1i1p1f1,Amon,prc,gr,gs://cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/prc/gr/,0001-01-16,0500-12-16,6000,0.889,2020-02-05,created,
