activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,MIROC,MIROC6,piClim-aer,r1i1p1f1,Amon,ua,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-aer/r1i1p1f1/Amon/ua/gn/,1850-01-16,1879-12-16,360,0.683,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-aer,r1i1p1f1,Amon,va,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-aer/r1i1p1f1/Amon/va/gn/,1850-01-16,1879-12-16,360,0.736,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-aer,r1i1p1f1,Amon,zg,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-aer/r1i1p1f1/Amon/zg/gn/,1850-01-16,1879-12-16,360,0.479,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-aer,r1i1p1f1,CFmon,hus,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-aer/r1i1p1f1/CFmon/hus/gn/,1850-01-16,1879-12-16,360,0,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-aer,r1i1p1f1,CFmon,ta,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-aer/r1i1p1f1/CFmon/ta/gn/,1850-01-16,1879-12-16,360,0,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-aer,r1i1p1f1,fx,areacella,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-aer/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-11,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,hus,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/hus/gn/,1850-01-16,1879-12-16,360,0.602,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rlut,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rlut/gn/,1850-01-16,1879-12-16,360,0.0335,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,1879-12-16,360,0.0312,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rsdscs,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rsdscs/gn/,1850-01-16,1879-12-16,360,0.0291,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,1879-12-16,360,0.0185,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rsuscs,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rsuscs/gn/,1850-01-16,1879-12-16,360,0.0341,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rsut,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rsut/gn/,1850-01-16,1879-12-16,360,0.0341,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/rsutcs/gn/,1850-01-16,1879-12-16,360,0.0327,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,ta,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/ta/gn/,1850-01-16,1879-12-16,360,0.497,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,Amon,ts,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/Amon/ts/gn/,1850-01-16,1879-12-16,360,0.0286,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,CFmon,hus,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/CFmon/hus/gn/,1850-01-16,1879-12-16,360,0,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,CFmon,ta,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/CFmon/ta/gn/,1850-01-16,1879-12-16,360,0,2019-11-15,created,
RFMIP,MIROC,MIROC6,piClim-anthro,r1i1p1f1,fx,areacella,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-anthro/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-11,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/AERmon/mmrbc/gn/,1850-01-16,1879-12-16,360,2.2,2020-02-24,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,AERmon,mmrdust,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/AERmon/mmrdust/gn/,1850-01-16,1879-12-16,360,2.23,2020-02-24,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,AERmon,mmroa,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/AERmon/mmroa/gn/,1850-01-16,1879-12-16,360,2.37,2020-02-26,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,AERmon,mmrso4,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/AERmon/mmrso4/gn/,1850-01-16,1879-12-16,360,2.37,2020-02-26,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,AERmon,mmrss,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/AERmon/mmrss/gn/,1850-01-16,1879-12-16,360,2.45,2020-02-29,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/AERmon/od550aer/gn/,1850-01-16,1879-12-16,360,0.0366,2020-02-23,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,clt,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/clt/gn/,1850-01-16,1879-12-16,360,0.0361,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,evspsbl,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/evspsbl/gn/,1850-01-16,1879-12-16,360,0.0383,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,hfls,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/hfls/gn/,1850-01-16,1879-12-16,360,0.0386,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,hfss,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/hfss/gn/,1850-01-16,1879-12-16,360,0.0405,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,hurs,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/hurs/gn/,1850-01-16,1879-12-16,360,0.0344,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,hus,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/hus/gn/,1850-01-16,1879-12-16,360,0.597,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,huss,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/huss/gn/,1850-01-16,1879-12-16,360,0.0358,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,pr,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/pr/gn/,1850-01-16,1879-12-16,360,0.039,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,prsn,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/prsn/gn/,1850-01-16,1879-12-16,360,0.0164,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,prw,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/prw/gn/,1850-01-16,1879-12-16,360,0.036,2019-11-02,created,
RFMIP,MIROC,MIROC6,piClim-control,r11i1p1f1,Amon,ps,gn,gs://cmip6/RFMIP/MIROC/MIROC6/piClim-control/r11i1p1f1/Amon/ps/gn/,1850-01-16,1879-12-16,360,0.0293,2019-11-02,created,
