activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Omon,so,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Omon/so/gn/,3200-01-16,3269-12-16,840,6.34,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Omon,thetao,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Omon/thetao/gn/,3200-01-16,3269-12-16,840,8.11,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Omon,tos,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Omon/tos/gn/,3200-01-16,3269-12-16,840,0.157,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Omon,uo,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Omon/uo/gn/,3200-01-16,3269-12-16,840,9.35,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,Omon,vo,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/Omon/vo/gn/,3200-01-16,3269-12-16,840,9.68,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-passiveheat,r1i1p1f1,fx,areacella,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-passiveheat/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Amon,ts,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Amon/ts/gn/,3200-01-16,3269-12-16,840,0.0674,2019-11-01,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000435,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Omon,so,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Omon/so/gn/,3200-01-16,3269-12-16,840,6.34,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Omon,thetao,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Omon/thetao/gn/,3200-01-16,3269-12-16,840,8.11,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Omon,tos,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Omon/tos/gn/,3200-01-16,3269-12-16,840,0.157,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Omon,uo,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Omon/uo/gn/,3200-01-16,3269-12-16,840,9.35,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,Omon,vo,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/Omon/vo/gn/,3200-01-16,3269-12-16,840,9.68,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-stress,r1i1p1f1,fx,areacella,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-stress/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Amon,ts,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Amon/ts/gn/,3200-01-16,3269-12-16,840,0.0675,2019-11-01,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000435,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-04,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Omon,so,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Omon/so/gn/,3200-01-16,3269-12-16,840,6.36,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Omon,thetao,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Omon/thetao/gn/,3200-01-16,3269-12-16,840,8.11,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Omon,tos,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Omon/tos/gn/,3200-01-16,3269-12-16,840,0.157,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Omon,uo,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Omon/uo/gn/,3200-01-16,3269-12-16,840,9.35,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,Omon,vo,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/Omon/vo/gn/,3200-01-16,3269-12-16,840,9.68,2019-11-12,created,
FAFMIP,MIROC,MIROC6,faf-water,r1i1p1f1,fx,areacella,gn,gs://cmip6/FAFMIP/MIROC/MIROC6/faf-water/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-04,created,
